,Camponotus planatus,Camponotus mucronatus,Camponotus atriceps,Azteca sp.,Paratrechina longicornis,Tetramorium spinosum,Cephalotes minutus,Dorymyrmex bicolor,Pseudomyrmex gracilis,Monomorium cyaneum,Camponotus hirsutinasus,Pachycondyla villosa,Forelius analis,Crematogaster brevispinosa ,Pheidole sp.,Solenopsis geminata,Wasmannia auropunctata,Pseudomyrmex ejectus,Pseudomyrmex brunneus
Cordia spinescens,110,104,0,21,3,0,2,0,10,12,14,2,0,1,0,0,0,0,0
Turnera ulmifolia,153,2,0,0,19,0,7,0,2,6,0,0,5,0,0,0,0,0,0
Crotalaria incana,61,6,1,1,7,0,1,7,1,0,0,0,4,0,0,0,0,0,0
Cedrela odorata,15,36,2,2,0,8,0,0,2,4,3,3,5,2,3,0,4,0,0
Callicarpa acuminata,20,37,0,3,1,0,2,0,0,3,2,0,0,2,6,0,0,5,0
Caesalpinia crista,42,0,15,0,0,0,0,2,4,0,0,0,0,1,0,0,0,0,2
Bidens pilosa,1,18,3,0,0,21,1,5,0,0,0,3,0,0,0,0,0,0,0
Canavalia rosea,30,0,8,0,1,0,0,4,0,0,0,0,0,0,0,4,0,0,2
Calopogonium caerulium,39,3,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,1,1
Terminalia catappa,0,17,14,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0
Senna occidentales,0,11,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Opuntia stricta,23,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Hibiscus tiliaceus,10,0,4,0,7,0,0,1,0,0,0,0,1,0,0,3,0,0,0
Amphilophium paniculatum,3,0,1,5,0,0,10,0,2,0,0,0,2,0,0,0,0,0,0
Ipomoea pescaprae,8,2,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Conocarpus erectus,0,18,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
Ficus obtusifolia,2,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cornutia grandiflora,8,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macroptilium atropurpureum,10,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cissus rhombifolia,7,0,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ipomoea sp.,3,6,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
Mansoa hymenaea,2,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,4,1,0
Tabebuia rosea,7,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Acacia macracantha,1,4,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0
Trichilia havanensis,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arundo donax,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrea volubilis,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chamaecrista chamaecristoides,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Iresine celosia,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordia dentata,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Bunchosia lindeniana,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
